source_url,target_url,status_code,preserve_query_string,subpath_matching,preserve_path_suffix,include_subdomains
amre.group/Join-Team-AMRE/,https://amre.group/about/,301,TRUE,FALSE,FALSE,FALSE
amre.group/Join-Team-AMRE,https://amre.group/about/,301,TRUE,FALSE,FALSE,FALSE
amre.group/agent/ania-de-pourbaix/,https://amre.group/team/ania-de-pourbaix/,301,TRUE,FALSE,FALSE,FALSE
amre.group/agent/ania-de-pourbaix,https://amre.group/team/ania-de-pourbaix/,301,TRUE,FALSE,FALSE,FALSE
amre.group/agent/michael-abraham/,https://amre.group/team/michael-abraham/,301,TRUE,FALSE,FALSE,FALSE
amre.group/agent/michael-abraham,https://amre.group/team/michael-abraham/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/2026-real-estate-outlook-why-next-year-could-be-a-breakthrough-for-buyers-and-sellers/,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/2026-real-estate-outlook-why-next-year-could-be-a-breakthrough-for-buyers-and-sellers,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/35-years-of-los-angeles-housing-appreciation-19892024/,https://amre.group/blog/35-years-housing-appreciation-los-angeles/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/35-years-of-los-angeles-housing-appreciation-19892024,https://amre.group/blog/35-years-housing-appreciation-los-angeles/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/90-days-as-a-realtor-lessons-from-the-first-chapter-of-my-journey/,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/90-days-as-a-realtor-lessons-from-the-first-chapter-of-my-journey,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/a-24-hour-journey-through-los-angeles-real-estate/,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/a-24-hour-journey-through-los-angeles-real-estate,https://amre.group/blog/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/affordable-los-angeles-living-remodeled-tic-unit-in-west-adams-for-dollar499k/,https://amre.group/blog/499k-los-angeles-buyer-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/affordable-los-angeles-living-remodeled-tic-unit-in-west-adams-for-dollar499k,https://amre.group/blog/499k-los-angeles-buyer-guide/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/big-lessons-from-the-compass-luxury-summit/,https://amre.group/blog/los-angeles-luxury-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/big-lessons-from-the-compass-luxury-summit,https://amre.group/blog/los-angeles-luxury-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/california-home-sales-reach-highest-level-in-2025/,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/california-home-sales-reach-highest-level-in-2025,https://amre.group/blog/los-angeles-market-now-2026/,301,TRUE,FALSE,FALSE,FALSE
amre.group/blog/california-migration-trends-2023-where-people-are-moving-to-and-from/,https://amre.group/blog/california-migration-trends-2023/,301,TRUE,FALSE,FALSE,FALSE
